"","ethnicity","date","filename","sex"
"53","CEU",2002-10-31,"GSM25578.CEL.gz","M"
"54","CEU",2002-11-15,"GSM25579.CEL.gz","M"
"55","CEU",2002-10-31,"GSM25580.CEL.gz","F"
"56","CEU",2002-11-15,"GSM25581.CEL.gz","F"
"57","CEU",2002-12-19,"GSM25624.CEL.gz","M"
"58","CEU",2003-01-03,"GSM25625.CEL.gz","M"
"59","CEU",2003-01-03,"GSM25626.CEL.gz","F"
"60","CEU",2003-01-23,"GSM25627.CEL.gz","M"
"61","CEU",2003-01-16,"GSM25628.CEL.gz","M"
"62","CEU",2003-01-16,"GSM25629.CEL.gz","M"
"63","CEU",2003-01-23,"GSM25630.CEL.gz","M"
"64","CEU",2003-03-04,"GSM25631.CEL.gz","F"
"65","CEU",2003-01-14,"GSM25632.CEL.gz","M"
"66","CEU",2003-01-14,"GSM25633.CEL.gz","M"
"67","CEU",2003-01-14,"GSM25634.CEL.gz","F"
"68","CEU",2003-01-14,"GSM25635.CEL.gz","M"
"69","CEU",2003-01-22,"GSM25656.CEL.gz","M"
"70","CEU",2002-11-22,"GSM25657.CEL.gz","M"
"71","CEU",2002-12-19,"GSM25658.CEL.gz","F"
"72","CEU",2003-01-31,"GSM25659.CEL.gz","F"
"73","CEU",2002-12-19,"GSM25660.CEL.gz","M"
"74","CEU",2002-12-19,"GSM25661.CEL.gz","M"
"75","CEU",2003-02-26,"GSM25662.CEL.gz","F"
"76","CEU",2003-02-26,"GSM25663.CEL.gz","F"
"77","CEU",2003-02-21,"GSM25680.CEL.gz","M"
"78","CEU",2003-02-21,"GSM25681.CEL.gz","M"
"79","CEU",2003-02-26,"GSM25682.CEL.gz","F"
"80","CEU",2003-02-26,"GSM25683.CEL.gz","F"
"81","CEU",2003-02-26,"GSM25684.CEL.gz","M"
"82","CEU",2003-02-26,"GSM25685.CEL.gz","M"
"83","CEU",2003-02-26,"GSM25686.CEL.gz","F"
"84","CEU",2003-02-26,"GSM25687.CEL.gz","F"
"85","CEU",2004-04-30,"GSM48650.CEL.gz","M"
"86","CEU",2004-04-30,"GSM48651.CEL.gz","F"
"87","CEU",2004-04-30,"GSM48652.CEL.gz","M"
"88","CEU",2004-04-30,"GSM48653.CEL.gz","M"
"89","CEU",2004-12-22,"GSM48654.CEL.gz","F"
"90","CEU",2004-11-04,"GSM48655.CEL.gz","M"
"91","CEU",2004-11-04,"GSM48656.CEL.gz","M"
"92","CEU",2004-11-18,"GSM48657.CEL.gz","M"
"93","CEU",2004-11-04,"GSM48658.CEL.gz","F"
"94","CEU",2004-11-18,"GSM48660.CEL.gz","F"
"95","CEU",2004-12-22,"GSM48661.CEL.gz","F"
"96","CEU",2004-11-18,"GSM48662.CEL.gz","M"
"97","CEU",2004-11-18,"GSM48663.CEL.gz","F"
"98","CEU",2002-11-22,"GSM48664.CEL.gz","M"
"99","CEU",2002-11-22,"GSM48665.CEL.gz","F"
"100","ASN",2005-05-13,"GSM136441.CEL.gz","F"
"101","ASN",2005-06-10,"GSM136442.CEL.gz","F"
"102","ASN",2005-06-10,"GSM136443.CEL.gz","M"
"103","ASN",2005-06-10,"GSM136444.CEL.gz","M"
"104","ASN",2005-06-10,"GSM136445.CEL.gz","F"
"105","ASN",2005-06-10,"GSM136506.CEL.gz","M"
"106","ASN",2005-06-23,"GSM136507.CEL.gz","M"
"107","ASN",2005-06-23,"GSM136508.CEL.gz","M"
"108","ASN",2005-06-23,"GSM136509.CEL.gz","M"
